📺4K频道,#genre#
Love_Nature_4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe_4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion_4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8

📺央视咪咕,#genre#
CCTV1,http://z.b.bkpcp.top/m.php?id=cctv1
CCTV2,http://z.b.bkpcp.top/m.php?id=cctv2
CCTV3,http://z.b.bkpcp.top/m.php?id=cctv3
CCTV4,http://z.b.bkpcp.top/m.php?id=cctv4
CCTV4欧洲,http://z.b.bkpcp.top/m.php?id=cctv4o
CCTV4美洲,http://z.b.bkpcp.top/m.php?id=cctv4m
CCTV5,http://z.b.bkpcp.top/m.php?id=cctv5
CCTV5+,http://z.b.bkpcp.top/m.php?id=cctv5p
CCTV6,http://z.b.bkpcp.top/m.php?id=cctv6
CCTV7,http://z.b.bkpcp.top/m.php?id=cctv7
CCTV8,http://z.b.bkpcp.top/m.php?id=cctv8
CCTV9,http://z.b.bkpcp.top/m.php?id=cctv9
CCTV10,http://z.b.bkpcp.top/m.php?id=cctv10
CCTV11,http://z.b.bkpcp.top/m.php?id=cctv11
CCTV12,http://z.b.bkpcp.top/m.php?id=cctv12
CCTV13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV14,http://z.b.bkpcp.top/m.php?id=cctv14
CCTV15,http://z.b.bkpcp.top/m.php?id=cctv15
CCTV17,http://z.b.bkpcp.top/m.php?id=cctv17

CCTV1,http://dsm.huarunguoji.top:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://dsm.huarunguoji.top:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://dsm.huarunguoji.top:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://dsm.huarunguoji.top:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://dsm.huarunguoji.top:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://dsm.huarunguoji.top:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV7,http://dsm.huarunguoji.top:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://dsm.huarunguoji.top:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://dsm.huarunguoji.top:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://dsm.huarunguoji.top:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://dsm.huarunguoji.top:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://dsm.huarunguoji.top:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://dsm.huarunguoji.top:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://dsm.huarunguoji.top:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://dsm.huarunguoji.top:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://dsm.huarunguoji.top:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

CCTV1,http://110.42.45.89:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
CCTV2,http://110.42.45.89:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV3,http://110.42.45.89:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
CCTV4,http://110.42.45.89:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
CCTV5,http://110.42.45.89:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV5+,http://110.42.45.89:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV6,http://110.42.45.89:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
CCTV7,http://110.42.45.89:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
CCTV8,http://110.42.45.89:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
CCTV9,http://110.42.45.89:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
CCTV10,http://110.42.45.89:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
CCTV11,http://110.42.45.89:35455/itv/1000000005000265011.m3u8?cdn=ystenlive
CCTV12,http://110.42.45.89:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV14,http://110.42.45.89:35455/itv/1000000005000265013.m3u8?cdn=ystenlive
CCTV15,http://110.42.45.89:35455/itv/1000000005000265014.m3u8?cdn=ystenlive
CCTV16,http://110.42.45.89:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV17,http://110.42.45.89:35455/itv/1000000005000265015.m3u8?cdn=ystenlive

📺央视高码,#genre#
CCTV1,http://111.170.172.113:35455/gaoma/cctv1.m3u8
CCTV1,http://112.74.115.68:35455/gaoma/cctv1.m3u8
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://lt.hxtre.com:35455/gaoma/cctv1.m3u8
CCTV1,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476879.m3u8
CCTV2,http://111.170.172.113:35455/gaoma/cctv2.m3u8
CCTV2,http://39.164.160.249:9901/tsfile/live/0002_1.m3u8
CCTV2,http://newtv.fun:35455/gaoma/cctv2.m3u8
CCTV2,http://lt.hxtre.com:35455/gaoma/cctv2.m3u8
CCTV2,http://1.itv.nctv.top:35455/gaoma/cctv2.m3u8
CCTV3,http://117.144.58.42:35455/gaoma/cctv3.m3u8
CCTV3,http://60.12.183.46:9901/tsfile/live/0003_1.m3u8
CCTV3,http://newtv.fun:35455/gaoma/cctv3.m3u8
CCTV3,http://lt.hxtre.com:35455/gaoma/cctv3.m3u8
CCTV3,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476882.m3u8
CCTV4,http://111.170.172.113:35455/gaoma/cctv4.m3u8
CCTV4,http://60.12.183.46:9901/tsfile/live/0004_1.m3u8
CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4k.m3u8
CCTV4,http://111.170.172.113:35455/gaoma/cctv4k.m3u8
CCTV4,http://lt.hxtre.com:35455/gaoma/cctv4.m3u8
CCTV5,http://112.74.115.68:35455/gaoma/cctv5.m3u8
CCTV5,http://3501776.xyz:35455/gaoma/cctv5.m3u8
CCTV5,http://lt.hxtre.com:35455/gaoma/cctv5.m3u8
CCTV5,http://111.170.172.113:35455/gaoma/cctv5.m3u8
CCTV5,http://newtv.fun:35455/gaoma/cctv5.m3u8
CCTV5+,http://lt.hxtre.com:35455/gaoma/cctv5p.m3u8
CCTV5+,http://112.74.115.68:35455/gaoma/cctv5p.m3u8
CCTV5+,http://newtv.fun:35455/gaoma/cctv5p.m3u8
CCTV5+,http://117.144.58.42:35455/gaoma/cctv5p.m3u8
CCTV5+,http://58.57.40.22:9901/tsfile/live/1005_1.m3u8
CCTV6,http://111.170.172.113:35455/gaoma/cctv6.m3u8
CCTV6,http://lt.hxtre.com:35455/gaoma/cctv6.m3u8
CCTV6,http://112.74.115.68:35455/gaoma/cctv6.m3u8
CCTV6,http://1.itv.nctv.top:35455/gaoma/cctv6.m3u8
CCTV6,http://home.wwang.pw:35455/gaoma/cctv6.m3u8
CCTV7,http://111.170.172.113:35455/gaoma/cctv7.m3u8
CCTV7,http://lt.hxtre.com:35455/gaoma/cctv7.m3u8
CCTV7,http://home.wwang.pw:35455/gaoma/cctv7.m3u8
CCTV7,http://117.144.58.42:35455/gaoma/cctv7.m3u8
CCTV7,http://hangfun.top:35455/gaoma/cctv7.m3u8
CCTV8,http://112.74.115.68:35455/gaoma/cctv8.m3u8
CCTV8,http://lt.hxtre.com:35455/gaoma/cctv8k_36m.m3u8
CCTV8,http://lt.hxtre.com:35455/gaoma/cctv8.m3u8
CCTV8,http://3501776.xyz:35455/gaoma/cctv8.m3u8
CCTV8,http://117.144.58.42:35455/gaoma/cctv8.m3u8
CCTV9,http://111.170.172.113:35455/gaoma/cctv9.m3u8
CCTV9,http://lt.hxtre.com:35455/gaoma/cctv9.m3u8
CCTV9,http://39.164.160.249:9901/tsfile/live/0009_1.m3u8
CCTV9,http://hotelplay.net/live/pmb8krf68n4z/4d8cf4af8de3574c/476893.m3u8
CCTV9,http://newtv.fun:35455/gaoma/cctv9.m3u8
CCTV10,http://lt.hxtre.com:35455/gaoma/cctv10.m3u8
CCTV10,http://112.74.115.68:35455/gaoma/cctv10.m3u8
CCTV10,http://111.170.172.113:35455/gaoma/cctv10.m3u8
CCTV10,http://117.144.58.42:35455/gaoma/cctv10.m3u8
CCTV10,http://39.164.160.249:9901/tsfile/live/0010_1.m3u8
CCTV11,http://112.74.115.68:35455/gaoma/cctv11.m3u8
CCTV11,http://111.170.172.113:35455/gaoma/cctv11.m3u8
CCTV11,http://nmmp.asia:35455/gaoma/cctv11.m3u8
CCTV11,http://39.164.160.249:9901/tsfile/live/0011_1.m3u8
CCTV11,http://117.144.58.42:35455/gaoma/cctv11.m3u8
CCTV12,http://112.74.115.68:35455/gaoma/cctv12.m3u8
CCTV12,http://39.164.160.249:9901/tsfile/live/0012_1.m3u8
